SlNo,Code,Country,2000,2005,2010,2014,2015,2016,2017,2019,2020,2021,2022,2023,2024,2025
60,233,Estonia,28.6,61.5,74.1,84.2,87.2,87.2,88.1,97.9,,94.8,95.1,95.2,95.1,94.7
61,234,Faroe Islands,32.9,67.9,75.2,93.3,94.2,95.1,97.6,97.6,,98.4,98.2,97.6,96.8,95.6
62,238,Falkland Islands (Malvinas),58.6,84.0,95.8,97.6,98.3,99.0,99.0,,99.0,95.4,93.6,91.4,89.0,86.2
63,242,Fiji,1.5,8.5,20.0,37.4,42.5,46.5,50.0,54.5,,67.5,72.6,77.9,83.4,89.0
64,246,Finland,37.2,74.5,86.9,86.5,86.4,87.7,87.5,94.0,,83.2,80.5,77.4,73.9,69.9
65,250,France,14.3,42.9,77.3,83.8,78.0,79.3,80.5,83.0,,77.2,74.7,71.7,68.2,64.2
66,258,French Polynesia,6.4,21.5,49.0,60.7,64.6,68.4,72.7,72.7,,81.4,83.9,86.3,88.6,90.8
67,262,Djibouti,0.2,1.0,6.5,10.7,11.9,13.1,55.7,,55.7,64.8,74.0,83.9,94.2,100.0
68,266,Gabon,1.2,4.9,13.0,38.1,45.8,48.1,50.3,,58.8,70.0,75.8,81.8,88.0,94.4
69,268,Georgia,0.5,6.1,26.9,44.0,47.6,59.3,60.5,,66.6,77.0,82.2,87.6,93.1,98.7
70,270,Gambia,0.9,3.8,9.2,15.6,16.5,18.5,19.8,,19.8,22.9,24.1,25.3,26.4,27.6
71,275,State of Palestine,1.1,16.0,37.4,53.7,57.4,61.2,65.2,,66.3,73.1,75.7,78.1,80.5,82.7
72,276,Germany,30.2,68.7,82.0,86.2,84.4,84.4,84.4,96.0,,85.0,83.0,80.7,78.0,74.9
73,288,Ghana,0.2,1.8,7.8,25.5,31.4,34.7,37.9,,37.9,48.0,51.9,55.9,60.1,64.4
74,292,Gibraltar,19.1,39.1,65.0,65.0,65.0,94.4,94.4,94.4,,100.0,100.0,100.0,100.0,100.0
75,296,Kiribati,1.8,4.0,9.1,12.3,13.0,13.7,14.6,27.4,,28.2,31.0,34.0,37.2,40.5
76,300,Greece,9.1,24.0,44.4,63.2,66.8,69.1,69.9,72.9,,82.4,85.2,88.0,90.7,93.4
77,304,Greenland,31.7,57.7,63.0,66.7,67.6,68.5,69.5,91.8,,84.8,87.0,89.1,91.3,93.4
78,308,Grenada,4.1,20.5,27.0,51.6,53.8,55.9,59.1,63.6,,74.3,78.3,82.4,86.6,90.9
79,316,Guam,16.1,38.6,54.0,69.3,73.1,77.0,80.5,80.5,,87.8,89.9,91.9,93.8,95.6
80,320,Guatemala,0.7,5.7,10.5,23.4,28.8,34.5,40.7,41.4,,54.7,59.8,65.3,70.9,76.8
81,324,Guinea,0.1,0.5,1.0,6.4,8.2,9.8,11.4,,18.4,20.6,23.2,26.0,28.9,32.0
82,328,Guyana,6.6,13.2,29.9,32.0,34.0,35.7,37.3,,55.0,53.9,57.3,60.8,64.5,68.2
83,332,Haiti,0.2,6.4,8.4,11.4,12.2,12.2,12.3,17.8,,17.4,18.3,19.2,20.0,20.9
84,340,Honduras,1.2,6.5,11.1,19.1,27.6,30.0,32.1,37.6,,46.6,50.8,55.2,59.8,64.6
85,344,"China, Hong Kong SAR",27.8,56.9,72.0,79.9,84.9,87.5,89.4,,89.4,90.0,89.9,89.5,88.9,88.0
86,348,Hungary,7.0,39.0,65.0,75.7,72.8,79.3,76.8,89.0,,85.9,86.3,86.4,86.2,85.7
87,352,Iceland,44.5,87.0,93.4,98.2,98.2,98.2,98.3,99.0,,89.1,85.4,81.2,76.5,71.3
88,356,India,0.5,2.4,7.5,21.0,26.0,29.5,34.5,,40.6,48.1,52.8,57.8,62.9,68.3
89,360,Indonesia,0.9,3.6,10.9,17.1,22.0,25.5,32.3,,62.6,63.8,72.0,80.8,90.0,99.7
90,364,Iran (Islamic Republic of),0.9,8.1,15.9,39.4,45.3,53.2,60.4,,80.5,90.5,99.5,100.0,100.0,100.0
91,368,Iraq,0.1,0.9,2.5,13.2,17.2,21.2,49.4,,52.9,63.3,72.0,81.2,90.9,100.0
92,372,Ireland,17.9,41.6,69.9,83.5,83.5,84.5,84.5,91.9,,93.0,93.7,94.2,94.3,94.2
93,376,Israel,20.9,25.2,67.5,75.0,77.4,79.7,81.6,,81.6,87.4,88.6,89.6,90.4,90.9
94,380,Italy,23.1,35.0,53.7,55.6,58.1,61.3,61.3,92.5,,90.4,95.9,100.0,100.0,100.0
95,384,Cote d'Ivoire,0.2,1.0,2.7,19.3,38.4,41.2,43.8,,45.3,59.7,65.8,72.2,78.8,85.7
96,388,Jamaica,3.1,12.8,27.7,40.4,42.2,44.4,48.8,54.4,,61.7,65.1,68.7,72.2,75.9
97,392,Japan,30.0,66.9,78.2,89.1,91.1,93.2,90.9,,93.8,91.2,89.8,88.1,86.0,83.5
98,398,Kazakhstan,0.7,3.0,31.6,66.0,70.8,74.6,76.4,,78.1,94.2,99.5,100.0,100.0,100.0
99,400,Jordan,2.6,12.9,27.2,46.2,60.1,62.3,66.8,,85.3,94.4,100.0,100.0,100.0,100.0
100,404,Kenya,0.3,3.1,7.2,16.5,16.6,16.6,17.8,,87.2,78.9,91.5,100.0,100.0,100.0
101,410,Republic of Korea,44.7,73.5,83.7,87.6,89.9,92.8,95.1,,96.0,94.0,93.4,92.5,91.4,90.1
102,414,Kuwait,6.7,25.9,61.4,78.7,77.5,78.4,98.0,,99.1,100.0,100.0,100.0,100.0,100.0
103,417,Kyrgyzstan,1.0,10.5,16.3,28.3,30.2,34.5,38.2,,38.2,43.5,45.8,48.1,50.4,52.7
104,418,Lao People's Dem. Rep.,0.1,0.9,7.0,14.3,18.2,21.9,25.5,,42.0,45.3,50.8,56.6,62.6,69.0
105,422,Lebanon,8.0,10.1,43.7,73.0,74.0,76.1,78.2,,81.3,93.7,97.7,100.0,100.0,100.0
106,426,Lesotho,0.2,2.6,3.9,22.0,25.0,27.4,29.8,,31.9,39.9,43.3,46.9,50.6,54.5
107,428,Latvia,6.3,46.0,68.4,75.8,79.2,79.8,81.3,87.1,,82.4,81.3,79.8,77.8,75.4
108,430,Liberia,0.0,0.0,2.3,5.4,5.9,7.3,8.0,,12.3,13.6,15.1,16.7,18.3,20.1
109,434,Libya,0.2,3.9,14.0,17.8,19.0,20.3,21.8,,74.2,67.8,77.3,87.3,98.0,100.0
110,438,Liechtenstein,36.5,63.4,80.0,95.2,96.6,98.1,98.1,98.1,,100.0,100.0,100.0,100.0,100.0
