SlNo,Code,Country,2000,2005,2010,2014,2015,2016,2017,2019,2020
144,583,Micronesia (Fed. States of),3.7,11.9,20,29.7,31.5,33.4,35.3,52.5,
145,584,Marshall Islands,1.5,3.9,7,16.8,19.3,29.8,38.7,38.7,
146,586,Pakistan,0.1,6.3,8,12,14,15.5,15.5,,32.4
147,591,Panama,6.6,11.5,40.1,44.9,51.2,54,57.9,68.6,
148,598,Papua New Guinea,0.8,1.7,1.3,6.5,7.9,9.6,11.2,11.2,
149,600,Paraguay,0.7,7.9,19.8,43,49.7,53.4,61.1,,65
150,604,Peru,3.1,17.1,34.8,40.2,40.9,45.5,48.7,,73
151,608,Philippines,2,5.4,25,49.6,53.7,55.5,60.1,,72.1
152,616,Poland,7.3,38.8,62.3,66.6,68,73.3,76,78.2,
153,620,Portugal,16.4,35,53.3,64.6,68.6,70.4,73.8,78.2,
154,624,Guinea-Bissau,0.2,1.9,2.5,3.3,3.5,3.8,3.9,,12.7
155,626,Timor-Leste,0,0.1,3,17.5,23,25.2,27.5,,31.1
156,630,Puerto Rico,10.5,23.4,45.3,69,63.5,68.6,72.8,83.4,
157,634,Qatar,4.9,24.7,69,91.5,92.9,94.3,95.9,,99.6
159,642,Romania,3.6,21.5,39.9,54.1,55.8,59.5,63.7,73.8,
160,643,Russia,2,15.2,43,70.5,70.1,73.1,76,80.9,
161,646,Rwanda,0.1,0.6,8,10.6,18,20,21.8,,46.2
162,654,Saint Helena,5.9,15.9,24.9,37.6,37.6,37.6,,,37.8
163,659,Saint Kitts and Nevis,5.9,34,63,68,75.7,76.8,80.7,80.7,
164,660,Anguilla,22.4,29,49.6,70.4,76,81.6,81.6,81.6,
165,662,Saint Lucia,5.1,21.6,32.5,39.7,42.5,46.7,50.8,79.2,
166,670,Saint Vincent & Grenadines,3.2,9.2,33.7,47.4,51.8,55.6,65.6,69.7,
167,674,San Marino,48.8,50.3,54.2,49.6,49.6,,60.2,60.2,
168,678,Sao Tome and Principe,4.6,13.8,18.8,24.4,25.8,28,29.9,,29.9
169,682,Saudi Arabia,2.2,12.7,41,64.7,69.6,74.9,82.1,,91.5
170,686,Senegal,0.4,4.8,8,17.7,21.7,25.7,29.6,,58.2
171,688,Serbia,12.3,26.3,40.9,62.1,65.3,67.1,70.3,73.4,
172,690,Seychelles,7.4,25.4,41,51.3,54.3,56.5,58.8,,72.5
173,694,Sierra Leone,0.1,0.2,0.6,6.1,6.3,11.8,13.2,,13.2
174,702,Singapore,36,61,71,79,79,84.5,84.4,,88.4
175,703,Slovakia,9.4,55.2,75.7,80,77.6,80.5,81.6,84.9,
176,704,Viet Nam,0.3,12.7,30.7,41,43.5,46.5,49.6,,70.4
177,705,Slovenia,15.1,46.8,70,71.6,73.1,75.5,78.9,79.9,
178,706,Somalia,0,1.1,1.2,1.6,1.8,1.9,2,,10.7
179,710,South Africa,5.3,7.5,24,49,51.9,54,56.2,,56.2
180,716,Zimbabwe,0.4,2.4,6.4,16.4,22.7,23.1,27.1,,56.5
181,724,Spain,13.6,47.9,65.8,76.2,78.7,80.6,84.6,92.5,
182,728,South Sudan,,,,4.5,5.5,6.7,8,,8
183,729,Sudan,0,1.3,16.7,24.6,26.6,28,30.9,,30.9
184,740,Suriname,2.5,6.4,31.6,40.1,42.8,45.4,48.9,,62
185,748,Eswatini,0.9,3.7,11,26.2,25.6,28.6,30.3,,57.3
186,752,Sweden,45.7,84.8,90,92.5,90.6,89.7,96.4,96.4,
187,756,Switzerland,47.1,70.1,83.9,87.4,87.5,89.1,93.7,93.7,
188,760,Syrian Arab Republic,0.2,5.6,20.7,28.1,30,31.9,34.3,,43.5
189,762,Tajikistan,0,0.3,11.6,17.5,19,20.5,22,,31.6
190,764,Thailand,3.7,15,22.4,34.9,39.3,47.5,52.9,,81.7
191,768,Togo,0.8,1.8,3,5.7,7.1,11.3,12.4,,12.4
192,776,Tonga,2.4,4.9,16,36,38.7,40,41.2,52.5,
193,780,Trinidad and Tobago,7.7,29,48.5,65.1,69.2,73.3,77.3,77.3,
194,784,United Arab Emirates,23.6,40,68,90.4,90.5,90.6,94.8,,96.4
195,788,Tunisia,2.8,9.7,36.8,46.2,46.5,49.6,55.5,,66.8
196,792,Turkey,3.8,15.5,39.8,51,53.7,58.3,64.7,83.3,
197,795,Turkmenistan,0.1,1,3,12.2,15,18,21.3,,21.3
198,798,Tuvalu,5.2,,25,39.2,42.7,46,49.3,49.3,
199,800,Uganda,0.2,1.7,12.5,16.9,17.8,21.9,23.7,,40.4
200,804,Ukraine,0.7,3.7,23.3,46.2,48.9,53,57.1,93.4,
201,807,North Macedonia,2.5,26.5,51.9,68.1,70.4,72.2,76.3,79.2,
202,818,Egypt,0.6,12.8,21.6,33.9,37.8,41.2,45,,48.1
203,826,United Kingdom,26.8,70,85,91.6,92,94.6,94.6,94.9,
204,831,Guernsey,31.9,73.6,83.6,83.6,83.6,83.6,83.6,83.6,
205,832,Jersey,9.2,31.3,32.4,41,41,41,,69.9,
206,834,United Rep. of Tanzania,0.1,1.1,2.9,7,10,13,16,,38.7
207,840,United States of America,43.1,68,71.7,73,74.6,75.2,75.2,89,
208,850,United States Virgin Islands,13.8,27.3,31.2,50.1,54.8,59.6,64.4,64.4,
209,854,Burkina Faso,0.1,0.5,2.4,9.4,11.4,14,15.9,,17.7
210,858,Uruguay,10.5,20.1,46.4,61.5,64.6,66.4,68.3,,78
211,860,Uzbekistan,0.5,3.3,15.9,35.5,42.8,46.8,52.3,,52.3
212,862,Venezuela (Boliv. Rep. of),3.4,12.6,37.4,57,60,60,64.3,,72
213,876,Wallis and Futuna Islands,4.8,6.7,8.2,9,9,9,,33.6,
214,882,Samoa,0.6,3.4,7,21.2,25.4,29.4,33.6,50.3,
215,887,Yemen,0.1,1,12.4,22.6,24.1,24.6,26.7,,26.7
216,894,Zambia,0.2,2.9,10,19,21,25.5,27.9,,53.7
